Region,ln(Md [kg/m2/sr]),sigma(ln(Md)),ln(<U> [Habings]),sigma(ln(<U>)),qPAH,sigma(qPAH),reduced chi-square
1,-18.06785455651803,0.2753169930622954,-1.005869408570668,0.2574598662036900,0.03186062694489640,0.02065017054242467,0.2222434116971211
2,-17.65847141190942,0.2354425427304847,-1.326001594987789,0.2373648523438638,0.01984828558829843,0.006339263858976427,0.7088761707649237
3,-15.42035851602629,0.3516273196818588,0.7295308799795341,0.3459729400951923,0.06061784286547521,0.01406771674829476,0.7971727471976495
4,-15.10258864740216,0.2310561155949454,1.053820054331557,0.2175289791321807,0.04091378509609167,0.009170574689172116,1.629586192749496
5,-14.86683727730968,0.1753412079637574,0.8912696020208203,0.1607726315032713,0.04112147581896600,0.008951198152664692,1.418701119738685
6,-15.31227400897202,0.2908650563740339,1.890927772724602,0.2793613503116358,0.03572298956668193,0.009471516554891455,2.196830097013770
7,-16.46205321086255,0.5114502635218162,1.741996234390492,0.5122358775267412,0.04488313091485618,0.02218229438515634,0.8400957059974434
8,-16.95022247167747,0.2468063288371297,-1.698604012684227,0.2264036304100272,0.04232251570301821,0.009630317750147277,1.747262363540947
9,-16.27010297115756,0.2840524017753324,0.7711525008513698,0.2827771685799619,0.05825122980470227,0.005196311385888375,2.818337842093642
10,-14.83382059059832,0.1495604593480203,1.463548980299196,0.1407400895415095,0.04251797729481397,0.006730311933489138,1.835857020926557
11,-15.72396340270795,0.3864018762257176,0.08896380904601439,0.3943103024217878,0.04641576411085597,0.01371596782113350,0.4443016725997531
12,-15.34874837881312,0.2754517635537047,0.7471757158296284,0.2675657739683199,0.04421380341535466,0.008862053240565765,0.9200044959653679
13,-18.24396103897670,1.166968088324936,1.410167848795754,1.132157634584843,0.04527650614391535,0.01897100871288569,0.3377112096071009
14,-15.91463594876448,0.3872195696923945,0.8892995507939866,0.3790004621253102,0.03836878035893029,0.009290725522585688,1.168487927409801
15,-16.29399308617929,0.4124265681103452,0.7951794953955146,0.3964855550362038,0.04617134712078729,0.01663624350279383,0.7139168215523984
16,-16.50876451899698,0.4003704918283222,0.5633860105442292,0.3986570957474453,0.06310812485739520,0.01268512662721214,0.4120213856065460
17,-16.58642911965122,0.3028735560456884,0.2900262013929267,0.2957286924883074,0.08140867103627655,0.01331490106482842,0.6859011532514447
18,-18.38901947317278,0.3817886372181308,2.048057132378351,0.3599085530192540,0.03912175566142800,0.008545393770065921,2.050537684400203
19,-17.82636635451699,0.4058164126139382,0.7646395618718687,0.3932586583174513,0.07636853908415051,0.01425086416542102,0.4083370382852066
20,-18.49258321362934,0.6097217659771722,0.7563526330102766,0.6149347807760447,0.03836393048075536,0.02573460068344733,0.4581529701682943
21,-17.58546891843923,0.5626110148188924,0.4820195734141325,0.5465737899016905,0.1038685287250206,0.02737648266148618,0.1931054627262507
22,-16.73588618597123,0.4759857874018152,0.6254343501902113,0.4787486443720585,0.05263767885090363,0.01036979812686620,0.6543334062934754
23,-18.50079350256486,0.5656006286556174,2.389803453886279,0.5393242521089312,0.04198923702417338,0.01092176400962626,0.7949817930942075
24,-16.15195051871773,0.3368311975485114,1.624913796821406,0.3356317103726824,0.03752103159839137,0.007105214325595692,1.207348826535629
25,-17.34977781123441,0.3850700874008165,0.8693064165938812,0.3780896750824092,0.04090951208589057,0.008131992724992362,0.6003496839581700
26,-18.13905858240374,4.409338861585677,0.1400564472774514,4.488106058634321,0.1898689360586831,0.04258189138357276,1.526892338954090
27,-18.41116207106931,0.4305613689243173,0.7548859552402959,0.4217454647731891,0.04973965051621624,0.008147525843146895,0.7358635764993805
28,-18.97096360115183,0.7169829434948736,1.267833114035312,0.7197757459671124,0.04479961986466908,0.01404825232245375,0.2542399775473239
29,-18.44199373289427,0.4736300159449079,1.259408568501760,0.4582874225646913,0.05097605911424927,0.01033487268430346,0.4806393485677171
30,-17.17038809936744,0.2110311182334734,1.027944845523934,0.2100706111588187,0.07043811222563638,0.008163480929839130,0.9921253759837150
31,-17.49203313428224,0.4196385242935839,-0.1263406207373997,0.4088598510483394,0.07566272841327532,0.02019268038669987,0.7773021633695605
32,-17.65765733086094,0.2748466362326239,1.653371269541870,0.2671232503140691,0.05209581507768959,0.006054642433962957,2.042159228950729
33,-18.24003610745361,0.1789615167538135,2.406279163578441,0.1702752003114376,0.02534161412673450,0.008183787795210199,1.293341978386186
34,-18.49086230675262,0.2056739206379603,0.8831758022717303,0.2003058614919589,0.05820222393346768,0.005623330705748725,0.8121685449272731
35,-16.42543595336221,0.2322008656838086,-2.214993455057256,0.2042481707902962,0.03889768584905234,0.01158224153564054,0.6061402160024756
36,-17.13980352601952,0.1944227476060270,2.281370598456591,0.1841592486770041,0.03769812169365139,0.004499947740634226,3.581425346454910
37,-16.88991475611558,0.2720948918268136,-0.3997365070821354,0.2553777596702836,0.1184614140663934,0.01396686362622052,0.5497734403457520
38,-17.26564635505266,0.3005302735268945,0.2115597317945110,0.2966437877660359,0.04773235901577130,0.006293948760294028,1.648380957661406
39,-16.55303826421119,0.2583523861773606,-1.488353397473607,0.2502579342527184,0.03399052438669214,0.008240268002459486,0.9104052255303291
40,-16.94215551570414,0.2211080017463827,0.2979635258512305,0.2143682530746367,0.08798990285502038,0.01026026282021514,1.119155143965619
41,-19.72592324182402,0.1808429503946473,2.141040249082311,0.1718777453842317,0.07891552121158851,0.01597070266560439,0.7402983342417950
42,-19.12197381333780,0.1587558665879913,1.798764994017287,0.1470094158126159,0.1736440615172776,0.01027111574820442,1.974487240177907
43,-19.05606368848800,0.4139021039723577,1.410816032460895,0.4025504015754645,0.02149603679281413,0.008000040941623798,0.9023032719667835
44,-16.68822216710517,0.1980943893408336,0.1218044595942299,0.1900667340759260,0.06981141276492074,0.005918325764650879,1.913403908998623
45,-18.01460319707539,0.5636472926068961,-0.4578066376468715,0.5646035560667478,0.08671106859117114,0.01154326882510257,0.9345025382936309
46,-17.20955894098139,0.4381928682251078,-1.012598008147134,0.4329462181983956,0.09136638660079321,0.01618409245678037,0.4023205076648695
47,-17.04727293090473,0.2011346376383105,0.6140619016066315,0.1960073781752356,0.06855711389523511,0.006339366741992383,1.871898933177561
48,-17.40166532606353,0.2356810168519502,-0.5375904999518382,0.2221799660415628,0.1183591745860837,0.01795040045672708,0.7709998564833643
49,-18.12797656886143,0.3471490537521191,0.9855081804482840,0.3359057816963071,0.07337136289607829,0.007094487463042755,2.959101972635415
50,-18.14725857384533,0.4015109433471397,0.2737699944478960,0.3775935504670744,0.07790012185818226,0.01168522041437651,0.5800311931186516
51,-16.59967822432818,0.2223144866992753,-0.6031173769770978,0.2155842484062371,0.06639263692029046,0.007422004509463209,1.070295219879541
52,-17.37858731605615,0.2485395240756519,-0.9807354086001838,0.2457287778286807,0.07474365908969921,0.01447713078924855,0.4612660129525974
53,-18.40132555062072,0.4175519750653708,0.1774023394185630,0.4012969433257159,0.1037734160293127,0.01924711932082267,0.2843168226199682
54,-15.73063241116425,0.1521539108303637,2.208535120952930,0.1545616908586038,0.04111180007899535,0.007053914914219030,10.61235842130841
55,-18.38554963956458,0.2162369599689921,0.7854510879398421,0.2093232343231437,0.05665157685189849,0.006210260338886793,1.134997613931856
56,-17.24703138901457,0.1977388696983113,1.066818131948197,0.1887170716368587,0.02534995769276355,0.003084600578833941,4.915737639681073
57,-17.77654437429760,0.2929260321214895,-0.09658968454386427,0.2803365141315983,0.06339097503873659,0.01417176959688305,0.6446661228035544
58,-17.53303151495691,0.2102927586043015,-0.7213858942155845,0.1970352234220273,0.08159410253847720,0.008884193741578731,0.7671891968899838
59,-17.30918401841258,0.2953675472932534,-1.234048616115654,0.2909749414874588,0.09501484761511243,0.01499635736299997,0.3045520923593517
60,-17.15600984577200,0.2563682053149469,-0.08621812191551079,0.2479421382875624,0.08025510539981785,0.008932051160227368,0.5436233919933480
61,-17.20551100222145,0.4732574033148375,-0.8524247429556384,0.4491618402238532,0.2421869968532570,0.03019784651691866,23.97241213183886
62,-19.97472266087852,0.4702226279535610,2.259217554681667,0.4489427114859260,0.08184384937035706,0.008689939132175107,1.080171234687748
63,-18.30727439310777,0.1585367557821973,-0.3443050041912400,0.1449188251977767,0.1549094735776840,0.01254209509852796,1.263536463347728
64,-17.14022430228717,0.2423327622405628,0.1979955406751345,0.2351342638709914,0.1036395145079824,0.009835818180190841,1.072704566939008
65,-18.80201014698564,0.2086357060068915,-0.2096274482141972,0.2033353259928435,0.08467218325397026,0.01214738492743585,0.6270846900978816
66,-16.87928490807431,0.2877493957196997,-0.3527600600371316,0.2840908764456672,0.06713584700262781,0.01210943284729207,0.3193831093517539
67,-15.93826986436530,0.6053824468921771,-0.2001801940458338,0.6124759973849176,0.05095127981640173,0.006852086308316461,3.109149816801013
68,-17.32860297012413,0.2464867291089735,2.649200540770139,0.2364795732758713,0.03361580975612459,0.004325862515793418,2.035286999033420
69,-16.92401250356868,0.4326572299414834,-0.1222583855310530,0.4284964840827886,0.05415432563186181,0.01366942912323855,0.5573846579145583
70,-19.66664335606465,0.3786823693135095,3.021330640953564,0.3586742472185238,0.03519042510248859,0.007617637112209808,2.129033255137625
71,-16.10897786470271,0.2911354420113599,0.8405516734481410,0.2869208567200375,0.03715234006740323,0.006460076211093541,1.067327686383374
72,-16.60513512710677,0.2392692606903511,2.343462574412927,0.2290638373138275,0.03704411303317284,0.006674298410551320,2.748671430173463
73,-16.77906809614120,0.1689876816724714,3.480148764814822,0.1702702107602515,0.002362630384863631,0.008651894673608084,8.368764656145652
74,-17.49390119984878,0.5900365900401597,1.889198207885363,0.5778730272202171,0.04319751424903284,0.01098148946418774,0.5903870890046259
75,-17.54238532048949,0.2204839678705071,3.269449805229389,0.2021611933413653,0.02962720339428359,0.006235126154564966,4.750259984039476
76,-18.21204219403853,1.197519675949245,-1.353434123480622,1.216278187322132,0.1590507516752677,0.02534589336723224,0.4916435815501050
77,-17.38669208482867,0.5430439923230237,1.754334706263394,0.5336680055903248,0.04765331028398004,0.01210507504481336,0.3767149112978387
78,-16.77869901685836,0.2484725805011260,1.832732415918631,0.2371388632173721,0.03427607170256138,0.008873983146212747,2.009710992150239
79,-16.29533761493773,0.1956733797017055,2.323955861792087,0.1854084828816943,0.03515178190002535,0.006771149572932798,3.654534560142138
80,-15.50798859969473,0.3497092705242322,1.052646706425023,0.3383826554299888,0.04883030204155119,0.009778320875753253,0.9894188589034878
81,-15.83937282738451,0.3368769128789332,1.366327670185986,0.3204983216335809,0.04549589178739392,0.01019820307725754,1.978268714276405
82,-17.14014856093934,0.2946806313013796,-0.4551079809089938,0.2967722443343812,0.1070493755668952,0.01778817255010456,0.4892800918389643
83,-16.09406654422937,0.2604158955673010,1.227677322994455,0.2492001991120787,0.05213040564788850,0.01245967916420349,1.784175155433081
84,-17.76640666596244,1.155131334292804,1.356644112858229,1.131361979195979,0.04732030187817934,0.03284056538873847,0.7149650793284463
85,-16.23414886653791,0.6762943093475927,1.957523480671695,0.6568395776062306,0.02611272920353894,0.01048022731058913,1.128936084487515
86,-15.10458493676261,0.2417888206034773,1.521589050822638,0.2293398904775941,0.03230905366858251,0.006267910869824757,1.374390179966266
87,-15.10254857088050,0.3126239182064413,0.4664836303777131,0.3112833730614624,0.03887194339127029,0.01006871950216563,0.7233689179309948
88,-19.29692885568705,0.3763555671046897,0.05511247819894049,0.3918162844151925,0.1246592675186671,0.03568489947707840,0.3515150033160316
89,-16.54126134496962,0.5631269741415162,1.538975933973586,0.5496222181497438,0.04341303911690428,0.01608905850182406,0.8677600184876237
90,-16.26035559387259,0.6453909688080336,1.588524319205221,0.6377613709599839,0.02925227517157156,0.01386383332459214,0.8157042045823798
91,-16.08198953184416,0.7040345791356396,2.229588224976931,0.6999495633985758,0.02957290464110408,0.007885805934205648,1.406138580404787
92,-18.82926191112639,1.219817596099372,2.601944690834310,1.219292894776691,0.02438591287502685,0.009431123255792800,0.8657214765079048
93,-16.72029625036987,0.6996303035529992,1.828805779201083,0.6614029713986616,0.04683377928362626,0.01761352584152363,0.4446175272579353
94,-16.48905516309120,0.2201679746040424,1.092265825840372,0.2223341664274320,0.09661165044789317,0.007687085059822809,1.826135687160277
95,-16.06136513426527,0.4055841435396617,2.434319230456242,0.3925784767882358,0.04594776298416153,0.007884936331115228,1.516313671095055
96,-16.44639785961479,0.3421070977612312,-0.8480058562273469,0.3711264232930385,0.05033036382905667,0.02432902530385369,0.2518743058181497
97,-15.08378233396232,0.1985665689022081,0.6404782773525943,0.1819828008971039,0.04393184321289031,0.008779643467228433,1.101735380634557
98,-17.53603631840544,0.2354648542376809,-0.4816702920947201,0.2103245329026653,0.1406122705409930,0.01775559803763289,1.088802847975463